Name Latitude Longitude Sea_ID Vertex_Index
Weddell -45.0000 -14.0000 1 1
Weddell -88.0000 -14.0000 1 2
Weddell -88.0000 -67.0000 1 3
Weddell -85.0000 -67.0000 1 4
Weddell -85.0000 -100.0000 1 5
Weddell -75.0000 -90.0000 1 6
Weddell -75.0000 -79.0000 1 7
Weddell -74.0000 -66.5000 1 8
Weddell -73.0000 -64.5000 1 9
Weddell -72.0000 -64.0000 1 10
Weddell -71.0000 -65.0000 1 11
Weddell -70.0000 -65.5000 1 12
Weddell -69.0000 -65.7500 1 13
Weddell -68.5000 -66.0000 1 14
Weddell -68.0000 -66.2000 1 15
Weddell -67.5000 -66.0000 1 16
Weddell -67.5000 -67.0000 1 17
Weddell -45.0000 -67.0000 1 18
Weddell -45.0000 -14.0000 1 19
KingHaakonVII -45.0000 71.0000 2 1
KingHaakonVII -88.0000 71.0000 2 2
KingHaakonVII -88.0000 -14.0000 2 3
KingHaakonVII -45.0000 -14.0000 2 4
KingHaakonVII -45.0000 71.0000 2 5
EastAnt -45.0000 163.0000 3 1
EastAnt -72.0000 163.0000 3 2
EastAnt -72.0000 150.0000 3 3
EastAnt -88.0000 150.0000 3 4
EastAnt -88.0000 71.0000 3 5
EastAnt -45.0000 71.0000 3 6
EastAnt -45.0000 163.0000 3 7
RossEast -45.0000 -110.0000 4 1
RossEast -88.0000 -110.0000 4 2
RossEast -88.0000 -180.0000 4 3
RossEast -45.0000 -180.0000 4 4
RossEast -45.0000 -110.0000 4 5
RossWest -45.0000 180.0000 4 1
RossWest -88.0000 180.0000 4 2
RossWest -88.0000 150.0000 4 3
RossWest -72.0000 150.0000 4 4
RossWest -72.0000 163.0000 4 5
RossWest -45.0000 163.0000 4 6
RossWest -45.0000 180.0000 4 7
BellAmund -45.0000 -67.0000 5 1
BellAmund -67.5000 -67.0000 5 2
BellAmund -67.5000 -66.0000 5 3
BellAmund -68.0000 -66.2000 5 4
BellAmund -68.5000 -66.0000 5 5
BellAmund -69.0000 -65.7500 5 6
BellAmund -70.0000 -65.5000 5 7
BellAmund -71.0000 -65.0000 5 8
BellAmund -72.0000 -64.0000 5 9
BellAmund -73.0000 -64.5000 5 10
BellAmund -74.0000 -66.5000 5 11
BellAmund -75.0000 -79.0000 5 12
BellAmund -75.0000 -90.0000 5 13
BellAmund -85.0000 -100.0000 5 14
BellAmund -85.0000 -67.0000 5 15
BellAmund -88.0000 -67.0000 5 16
BellAmund -88.0000 -110.0000 5 17
BellAmund -45.0000 -110.0000 5 18
BellAmund -45.0000 -67.0000 5 19
