Name Latitude Longitude Sea_ID Vertex_Index
Weddell -45.0000 20.0000 1 1
Weddell -88.0000 20.0000 1 2
Weddell -88.0000 -60.0000 1 3
Weddell -85.0000 -60.0000 1 4
Weddell -85.0000 -100.0000 1 5
Weddell -75.0000 -90.0000 1 6
Weddell -75.0000 -79.0000 1 7
Weddell -74.0000 -66.5000 1 8
Weddell -73.0000 -64.5000 1 9
Weddell -72.0000 -64.0000 1 10
Weddell -71.0000 -65.0000 1 11
Weddell -70.0000 -65.5000 1 12
Weddell -69.0000 -65.7500 1 13
Weddell -68.5000 -66.0000 1 14
Weddell -68.0000 -66.2000 1 15
Weddell -67.5000 -66.0000 1 16
Weddell -67.0000 -65.6400 1 17
Weddell -66.5000 -64.7500 1 18
Weddell -66.0000 -64.0000 1 19
Weddell -65.5000 -63.0000 1 20
Weddell -65.0000 -62.1000 1 21
Weddell -64.5000 -60.8000 1 22
Weddell -64.2000 -60.0000 1 23
Weddell -45.0000 -60.0000 1 24
Weddell -45.0000 20.0000 1 25
Indian -45.0000 90.0000 2 1
Indian -88.0000 90.0000 2 2
Indian -88.0000 20.0000 2 3
Indian -45.0000 20.0000 2 4
Indian -45.0000 90.0000 2 5
Pacific -45.0000 160.0000 3 1
Pacific -72.0000 160.0000 3 2
Pacific -72.0000 150.0000 3 3
Pacific -88.0000 150.0000 3 4
Pacific -88.0000 90.0000 3 5
Pacific -45.0000 90.0000 3 6
Pacific -45.0000 160.0000 3 7
RossEast -45.0000 -130.0000 4 1
RossEast -88.0000 -130.0000 4 2
RossEast -88.0000 -180.0000 4 3
RossEast -45.0000 -180.0000 4 4
RossEast -45.0000 -130.0000 4 5
RossWest -45.0000 180.0000 4 1
RossWest -88.0000 180.0000 4 2
RossWest -88.0000 150.0000 4 3
RossWest -72.0000 150.0000 4 4
RossWest -72.0000 160.0000 4 5
RossWest -45.0000 160.0000 4 6
RossWest -45.0000 180.0000 4 7
BellAmund -45.0000 -60.0000 5 1
BellAmund -64.2000 -60.0000 5 2
BellAmund -64.5000 -60.8000 5 3
BellAmund -65.0000 -62.1000 5 4
BellAmund -65.5000 -63.0000 5 5
BellAmund -66.0000 -64.0000 5 6
BellAmund -66.5000 -64.7500 5 7
BellAmund -67.0000 -65.6400 5 8
BellAmund -67.5000 -66.0000 5 9
BellAmund -68.0000 -66.2000 5 10
BellAmund -68.5000 -66.0000 5 11
BellAmund -69.0000 -65.7500 5 12
BellAmund -70.0000 -65.5000 5 13
BellAmund -71.0000 -65.0000 5 14
BellAmund -72.0000 -64.0000 5 15
BellAmund -73.0000 -64.5000 5 16
BellAmund -74.0000 -66.5000 5 17
BellAmund -75.0000 -79.0000 5 18
BellAmund -75.0000 -90.0000 5 19
BellAmund -85.0000 -100.0000 5 20
BellAmund -85.0000 -60.0000 5 21
BellAmund -88.0000 -60.0000 5 22
BellAmund -88.0000 -130.0000 5 23
BellAmund -45.0000 -130.0000 5 24
BellAmund -45.0000 -60.0000 5 25
